"Category ID";"Active (0/1)";"Name *";"Parent category";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
25;1;Olympics;12;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;olympics;http://192.168.9.117/Prestashop/theme1242/img/c/25.jpg
31;1;"Curabitur pulvinar";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;curabitur-pulvinar;http://192.168.9.117/Prestashop/theme1242/img/c/31.jpg
32;1;"Aenean nec";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>";;;;aenean-nec;http://192.168.9.117/Prestashop/theme1242/img/c/32.jpg
33;1;"Maecenas mattis";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;maecenas-mattis;http://192.168.9.117/Prestashop/theme1242/img/c/33.jpg
34;1;"Lorem ipsum";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;lorem-ipsum;http://192.168.9.117/Prestashop/theme1242/img/c/34.jpg
35;1;"Vivamus bibendum";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;vivamus-bibendum;http://192.168.9.117/Prestashop/theme1242/img/c/35.jpg
36;1;"Donec commodo ";21;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;donec-commodo-;http://192.168.9.117/Prestashop/theme1242/img/c/36.jpg
37;1;"Ut rutrum consectetur ";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;ut-rutrum-consectetur-;http://192.168.9.117/Prestashop/theme1242/img/c/37.jpg
38;1;"Phasellus eleifend";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;phasellus-eleifend;http://192.168.9.117/Prestashop/theme1242/img/c/38.jpg
39;1;"Ut ultricies est";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;ut-ultricies-est;http://192.168.9.117/Prestashop/theme1242/img/c/39.jpg
40;1;"Fusce imperdiet ";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;fusce-imperdiet-;http://192.168.9.117/Prestashop/theme1242/img/c/40.jpg
41;1;"Ut ultrices iaculis";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;ut-ultrices-iaculis;http://192.168.9.117/Prestashop/theme1242/img/c/41.jpg
42;1;"Vivamus hendrerit";22;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;vivamus-hendrerit;http://192.168.9.117/Prestashop/theme1242/img/c/42.jpg
43;1;"Praesent risus";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;praesent-risus;http://192.168.9.117/Prestashop/theme1242/img/c/43.jpg
44;1;" Maecenas rhoncus";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;-maecenas-rhoncus;http://192.168.9.117/Prestashop/theme1242/img/c/44.jpg
45;1;"Vestibulum viverra ";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;vestibulum-viverra-;http://192.168.9.117/Prestashop/theme1242/img/c/45.jpg
46;1;"Sed neque quam";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;sed-neque-quam;http://192.168.9.117/Prestashop/theme1242/img/c/46.jpg
47;1;"Proin quis nisi";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;proin-quis-nisi;http://192.168.9.117/Prestashop/theme1242/img/c/47.jpg
48;1;"Cum sociis ";23;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;cum-sociis-;http://192.168.9.117/Prestashop/theme1242/img/c/48.jpg
49;1;"Pellentesque elementum";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;pellentesque-elementum;http://192.168.9.117/Prestashop/theme1242/img/c/49.jpg
50;1;"Class aptent ";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;class-aptent-;http://192.168.9.117/Prestashop/theme1242/img/c/50.jpg
51;1;"Etiam ut vestibulum";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;etiam-ut-vestibulum;http://192.168.9.117/Prestashop/theme1242/img/c/51.jpg
52;1;"Quisque imperdiet";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;quisque-imperdiet;http://192.168.9.117/Prestashop/theme1242/img/c/52.jpg
53;1;"Lorem ipsum dolor";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;lorem-ipsum-dolor;http://192.168.9.117/Prestashop/theme1242/img/c/53.jpg
54;1;"Vestibulum viverra";24;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;vestibulum-viverra;http://192.168.9.117/Prestashop/theme1242/img/c/54.jpg
55;1;"Sed et ultricies leo";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;sed-et-ultricies-leo;http://192.168.9.117/Prestashop/theme1242/img/c/55.jpg
56;1;"Fusce scelerisque";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;fusce-scelerisque;http://192.168.9.117/Prestashop/theme1242/img/c/56.jpg
57;1;"Nunc eget erat ";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;nunc-eget-erat-;http://192.168.9.117/Prestashop/theme1242/img/c/57.jpg
58;1;"Consectetur adipiscing";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;consectetur-adipiscing;http://192.168.9.117/Prestashop/theme1242/img/c/58.jpg
59;1;"Integer tempor";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;integer-tempor;http://192.168.9.117/Prestashop/theme1242/img/c/59.jpg
60;1;"Fusce a lobortis";25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;fusce-a-lobortis;http://192.168.9.117/Prestashop/theme1242/img/c/60.jpg
